account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Cash;Parking;PHP;-60.00;-60.00;Expenses;CASH;Cash;;2025-12-05 00:55:01;;;;0;false;;;5001;false
Cash;Bar, cafe;PHP;-400.00;-400.00;Expenses;CASH;Cash;starbucks;2025-12-05 00:54:15;;;;0;false;;;1002;false
Cash;Pets, animals;PHP;-408.00;-408.00;Expenses;CASH;Cash;pet food;2025-12-03 19:47:27;;;;0;false;;;2005;false
Cash;Health and beauty;PHP;-540.00;-540.00;Expenses;CASH;Cash;watsons;2025-12-03 19:33:34;;;;0;false;;;2002;false
Cash;Restaurant, fast-food;PHP;-835.00;-835.00;Expenses;CASH;Cash;marugame;2025-12-03 18:58:37;;;;0;false;;;1001;false
Cash;Transportation;PHP;-112.00;-112.00;Expenses;CASH;Cash;;2025-12-03 08:35:52;;;;0;false;;;4004;false
Cash;Groceries;PHP;-832.00;-832.00;Expenses;CASH;Cash;korean shop;2025-12-02 23:18:26;;;;0;false;;;1000;false
Cash;Sports + Active;PHP;-510.00;-510.00;Expenses;CASH;Cash;;2025-12-02 21:22:38;;;;0;false;;;6003;false
Cash;Software, apps, games;PHP;-1200.00;-1200.00;Expenses;CASH;Cash;claude;2025-12-02 13:22:40;;;;0;false;;;7003;false
Cash;Restaurant, fast-food;PHP;-527.00;-527.00;Expenses;CASH;Cash;mcdo;2025-12-02 11:11:51;;;;0;false;;;1001;false
Cash;Holiday, trips, hotels;PHP;-2000.00;-2000.00;Expenses;CASH;Cash;sogo;2025-12-02 11:09:58;;;;0;false;;;6009;false
Cash;Groceries;PHP;-900.00;-900.00;Expenses;CASH;Cash;7 eleven;2025-12-02 11:09:40;;;;0;false;;;1000;false
Cash;Parking;PHP;-60.00;-60.00;Expenses;CASH;Cash;;2025-12-01 11:12:29;;;;0;false;;;5001;false
Cash;Restaurant, fast-food;PHP;-2593.00;-2593.00;Expenses;CASH;Cash;itallianis;2025-11-30 19:01:32;;;;0;false;;;1001;false
Cash;Parking;PHP;-60.00;-60.00;Expenses;CASH;Cash;;2025-11-30 08:36:02;;;;0;false;;;5001;false
Cash;Bar, cafe;PHP;-965.00;-965.00;Expenses;CASH;Cash;starbucks;2025-11-30 08:35:27;;;;0;false;;;1002;false
Cash;Restaurant, fast-food;PHP;-4070.00;-4070.00;Expenses;CASH;Cash;chars garden cafe;2025-11-29 15:18:49;;;;0;false;;;1001;false
Cash;Groceries;PHP;-200.00;-200.00;Expenses;CASH;Cash;;2025-11-29 11:56:34;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-1075.00;-1075.00;Expenses;CASH;Cash;mcdo;2025-11-29 08:45:21;;;;0;false;;;1001;false
Cash;Parking;PHP;-120.00;-120.00;Expenses;CASH;Cash;;2025-11-28 11:56:45;;;;0;false;;;5001;false
Cash;Income;PHP;53341.00;53341.00;Income;CASH;Cash;;2025-11-28 08:05:14;;;;0;false;;;10011;false
Cash;Restaurant, fast-food;PHP;-1300.00;-1300.00;Expenses;CASH;Cash;romantic baboy;2025-11-28 07:32:54;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-920.00;-920.00;Expenses;CASH;Cash;ramen kuroda;2025-11-27 17:41:06;;;;0;false;;;1001;false
Cash;Parking;PHP;-60.00;-60.00;Expenses;CASH;Cash;;2025-11-27 17:17:03;;;;0;false;;;5001;false
Cash;Parking;PHP;-180.00;-180.00;Expenses;CASH;Cash;;2025-11-27 17:16:20;;;;0;false;;;5001;false
Crypto;Electronics, accessories;PHP;-698.00;-698.00;Expenses;CASH;Cash;ref delivery;2025-11-27 17:00:27;;;;0;false;;;2006;false
Cash;Parking;PHP;-4500.00;-4500.00;Expenses;CASH;Cash;;2025-11-27 12:00:00;;;;0;false;;;5001;false
Cash;Allowance;PHP;-3750.00;-3750.00;Expenses;CASH;Cash;;2025-11-27 12:00:00;;;;0;false;;;8007;false
Cash;Allowance;PHP;-1500.00;-1500.00;Expenses;CASH;Cash;;2025-11-27 12:00:00;;;;0;false;;;8007;false
Cash;Internet;PHP;-2000.00;-2000.00;Expenses;CASH;Cash;;2025-11-27 12:00:00;;;;0;false;;;7002;false
Cash;Housing;PHP;-6000.00;-6000.00;Expenses;CASH;Cash;;2025-11-27 12:00:00;;;;0;false;;;3005;false
Cash;Restaurant, fast-food;PHP;-400.00;-400.00;Expenses;CASH;Cash;dunkin donut;2025-11-27 08:56:49;;;;0;false;;;1001;false
Cash;Electronics, accessories;PHP;-700.00;-700.00;Expenses;CASH;Cash;ref delivery;2025-11-27 08:56:21;;;;0;false;;;2006;false
Cash;Restaurant, fast-food;PHP;-660.00;-660.00;Expenses;CASH;Cash;noodle shop;2025-11-26 17:20:19;;;;0;false;;;1001;false
Cash;Vehicle;PHP;-27439.00;-27439.00;Expenses;CASH;Cash;;2025-11-26 12:00:00;;;;0;false;;;5004;false
Cash;Sports + Active;PHP;-180.00;-180.00;Expenses;CASH;Cash;;2025-11-25 16:56:43;;;;0;false;;;6003;false
Cash;Software, apps, games;PHP;-120.00;-120.00;Expenses;CASH;Cash;;2025-11-25 12:00:00;;;;0;false;;;7003;false
Cash;Transportation;PHP;-159.00;-159.00;Expenses;CASH;Cash;;2025-11-25 10:41:49;;;;0;false;;;4004;false
Cash;Drug-store, chemist;PHP;-503.00;-503.00;Expenses;CASH;Cash;mercury;2025-11-24 21:42:03;;;;0;false;;;2011;false
Cash;Parking;PHP;-150.00;-150.00;Expenses;CASH;Cash;;2025-11-24 18:59:40;;;;0;false;;;5001;false
Cash;Fuel;PHP;-2546.00;-2546.00;Expenses;CASH;Cash;;2025-11-24 11:18:37;;;;0;false;;;5000;false
Cash;Restaurant, fast-food;PHP;-600.00;-600.00;Expenses;CASH;Cash;mang inasal;2025-11-23 17:39:54;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-1750.00;-1750.00;Expenses;CASH;Cash;crosta;2025-11-23 17:39:44;;;;0;false;;;1001;false
Cash;Drug-store, chemist;PHP;-109.00;-109.00;Expenses;CASH;Cash;watsons;2025-11-23 16:43:06;;;;0;false;;;2011;false
